case_id,parent_category,category,service_name,title,region,city,district,neighborhood,customer_symptom,customer_concern,actual_cause,repair_method,materials,work_time,price,production_lead_time,before_image_count,during_image_count,after_image_count,before_image_paths,during_image_paths,after_image_paths,summary,primary_keyword,secondary_keywords,slug,route,canonical_url,cta,published_date,source_file
case-087,싱크대 수리,상부장 처짐,상부장 처짐,"계양구 싱크대 상부장 처짐, 시공목 보강 후 재결합",인천 계양구,인천,계양구,,"인천 계양구 싱크대 상부장 처짐 사례입니다. 뒤쪽 시공목이 빠지면서 장이 처진 상태로 확인되어, 장을 내린 뒤 시공목을 보강하고 상부장을 다시 결합했습니다.",,시공목|처짐,"뒤쪽 시공목이 빠지면서 장이 처진 상태로 확인되어, 장을 내린 뒤 시공목을 보강하고 상부장을 다시 결합했습니다",시공목,,,,1,0,1,/images/cases/case-087-before.jpg,,/images/cases/case-087-after.jpg,"인천 계양구 싱크대 상부장 처짐 사례입니다. 뒤쪽 시공목이 빠지면서 장이 처진 상태로 확인되어, 장을 내린 뒤 시공목을 보강하고 상부장을 다시 결합했습니다.",계양구 싱크대 상부장 처짐,계양구 상부장 처짐|인천 상부장 처짐|싱크대 상부장 처짐|싱크대 상부장 수리|상부장 시공목|시공목 보강|상부장 재결합|주방 상부장 수리|리스토리 스튜디오,case-087,/cases/case-087,https://www.restorystudio.co.kr/cases/case-087,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,2026-07-15,lib/case-data.tsx
case-086,가죽 리폼,의자 천갈이,의자 천갈이,"송파 식탁의자 인조가죽 천갈이, 좌판 손상만 다시 정리한 사례",서울 송파,서울,송파,,"서울 송파 식탁의자 인조가죽 천갈이 사례입니다. 원목 프레임은 그대로 사용할 수 있어 보였고, 좌판 앞쪽과 측면의 인조가죽이 벗겨지고 갈라진 상태였습니다. 좌판을 분리한 뒤 새 인조가죽 원단으로 다시 감싸 4개 식탁의자의 앉는 부분을 정돈했습니다.",,가죽,서울 송파 식탁의자 인조가죽 천갈이 사례입니다,인조가죽,,,,1,0,1,/images/cases/case-086-before.jpg,,/images/cases/case-086-after.jpg,"서울 송파 식탁의자 인조가죽 천갈이 사례입니다. 원목 프레임은 그대로 사용할 수 있어 보였고, 좌판 앞쪽과 측면의 인조가죽이 벗겨지고 갈라진 상태였습니다. 좌판을 분리한 뒤 새 인조가죽 원단으로 다시 감싸 4개 식탁의자의 앉는 부분을 정돈했습니다.",송파 식탁의자 인조가죽 천갈이,송파 식탁의자 천갈이|송파 의자 천갈이|송파 인조가죽 교체|식탁의자 인조가죽 천갈이|식탁의자 천갈이|의자 좌판 천갈이|인조가죽 천갈이|가죽 리폼|리스토리 스튜디오,case-086,/cases/case-086,https://www.restorystudio.co.kr/cases/case-086,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,2026-07-15,lib/case-data.tsx
case-085,가죽 리폼,회의실 테이블 가죽 교체,회의실 테이블 가죽 교체,구로 회의실 대형 테이블 상판 인조가죽 패드 교체,서울 구로구,서울,구로구,,"서울 구로구 회의실 대형 테이블 상판 패드 교체 사례입니다. 검정 인조가죽 패드 표면에 벗겨짐과 긁힘이 넓게 보이던 상태에서, 기존 패드를 분리하고 새 검정 인조가죽 원단으로 교체해 회의실 테이블을 다시 깔끔하게 정리했습니다.",,가죽,서울 구로구 회의실 대형 테이블 상판 패드 교체 사례입니다,인조가죽,,,,1,0,1,/images/cases/case-085-before.jpg,,/images/cases/case-085-after.jpg,"서울 구로구 회의실 대형 테이블 상판 패드 교체 사례입니다. 검정 인조가죽 패드 표면에 벗겨짐과 긁힘이 넓게 보이던 상태에서, 기존 패드를 분리하고 새 검정 인조가죽 원단으로 교체해 회의실 테이블을 다시 깔끔하게 정리했습니다.",구로 회의실 테이블 가죽 교체,구로 회의실 테이블 패드 교체|구로 테이블 상판 인조가죽 교체|회의실 테이블 패드 교체|회의실 테이블 가죽 교체|회의실 테이블 천갈이|대형 테이블 패드 교체|테이블 인조가죽 교체|사무실 테이블 리폼|가죽 리폼|서울 구로구|리스토리 스튜디오,case-085,/cases/case-085,https://www.restorystudio.co.kr/cases/case-085,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,2026-07-14,lib/case-data.tsx
case-084,싱크대 수리,상부장 처짐,상부장 처짐,"용산 싱크대 상부장 처짐, 추락 직전이었던 상부장을 시공목 재고정으로 복구했습니다",서울 용산구,서울,용산구,,서울 용산구 싱크대 상부장 처짐 수리 사례입니다. 벽에 고정되어 있던 시공목이 분리되면서 상부장이 앞으로 기울어 추락 직전 상태였습니다. 시공목을 다시 벽체에 단단히 고정하고 깨진 상부장까지 복구해 약 2시간 만에 안전하게 사용할 수 있도록 마무리했습니다.,,시공목|경첩|처짐|추락,서울 용산구 싱크대 상부장 처짐 수리 사례입니다,시공목,,,,1,0,1,/images/cases/case-084-before.jpg,,/images/cases/case-084-after.jpg,서울 용산구 싱크대 상부장 처짐 수리 사례입니다. 벽에 고정되어 있던 시공목이 분리되면서 상부장이 앞으로 기울어 추락 직전 상태였습니다. 시공목을 다시 벽체에 단단히 고정하고 깨진 상부장까지 복구해 약 2시간 만에 안전하게 사용할 수 있도록 마무리했습니다.,용산 싱크대 상부장 처짐,용산 싱크대 상부장 추락|용산 싱크대 수리|용산 상부장 수리|서울 상부장 처짐|싱크대 상부장 처짐|싱크대 상부장 추락|시공목 보강|시공목 재고정|싱크대 수리|서울 용산구|리스토리 스튜디오,case-084,/cases/case-084,https://www.restorystudio.co.kr/cases/case-084,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,2026-07-14,lib/case-data.tsx
case-083,가죽 리폼,회의실 테이블 가죽 교체,회의실 테이블 가죽 교체,"강서구 화곡동 회의실 중역 테이블 천갈이, 벗겨진 상판 가죽을 새 인조가죽으로 교체했습니다",서울 강서구 화곡동,서울,강서구,화곡동,서울 강서구 화곡동 회의실 중역 테이블 천갈이 사례입니다. 오랜 사용으로 상판 인조가죽이 벗겨지고 갈라져 회의실 전체가 낡아 보이던 상태였습니다. 기존 가죽을 제거한 뒤 새 인조가죽으로 천갈이를 진행해 약 2시간 만에 깔끔하게 마무리했습니다.,,가죽,서울 강서구 화곡동 회의실 중역 테이블 천갈이 사례입니다,가죽|인조가죽,,,,1,0,1,/images/cases/case-083-before.jpg,,/images/cases/case-083-after.jpg,서울 강서구 화곡동 회의실 중역 테이블 천갈이 사례입니다. 오랜 사용으로 상판 인조가죽이 벗겨지고 갈라져 회의실 전체가 낡아 보이던 상태였습니다. 기존 가죽을 제거한 뒤 새 인조가죽으로 천갈이를 진행해 약 2시간 만에 깔끔하게 마무리했습니다.,강서구 회의실 테이블 가죽 교체,화곡동 회의실 테이블 가죽 교체|강서구 중역 테이블 천갈이|화곡동 중역 테이블 천갈이|회의실 테이블 천갈이|회의실 테이블 가죽 교체|중역 테이블 가죽 교체|테이블 인조가죽 교체|가죽 리폼|회의실 리폼|서울 강서구|리스토리 스튜디오,case-083,/cases/case-083,https://www.restorystudio.co.kr/cases/case-083,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,2026-07-13,lib/case-data.tsx
case-082,싱크대 리폼,싱크대 리폼,싱크대 리폼,"송파구 싱크대 문짝 교체, 물먹어 부푼 UV 하이그로시 문짝만 교체해 주방 분위기를 살렸습니다",서울 송파구,서울,송파구,,서울 송파구 싱크대 문짝 교체 사례입니다. 오래 사용한 UV 하이그로시 문짝 하단이 습기로 물을 먹어 부풀고 터진 상태였습니다. 기존 몸통은 그대로 사용하고 손상된 문짝만 새 UV 하이그로시로 교체해 약 1시간 만에 깔끔하게 마무리했습니다.,,습기|물,서울 송파구 싱크대 문짝 교체 사례입니다,UV,,,,1,0,1,/images/cases/case-082-before.jpg,,/images/cases/case-082-after.jpg,서울 송파구 싱크대 문짝 교체 사례입니다. 오래 사용한 UV 하이그로시 문짝 하단이 습기로 물을 먹어 부풀고 터진 상태였습니다. 기존 몸통은 그대로 사용하고 손상된 문짝만 새 UV 하이그로시로 교체해 약 1시간 만에 깔끔하게 마무리했습니다.,송파구 싱크대 문짝 교체,송파구 싱크대 리폼|송파구 주방 문짝 교체|송파구 싱크대 수리|서울 싱크대 문짝 교체|싱크대 문짝 교체|UV 하이그로시|싱크대 문짝 물먹음|주방 문짝 교체|싱크대 리폼|서울 송파구|리스토리 스튜디오,case-082,/cases/case-082,https://www.restorystudio.co.kr/cases/case-082,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,2026-07-13,lib/case-data.tsx
case-081,소파 복원,소파 복원,소파 복원,"부천 소파 스프링 빠짐 수리, S자 스프링 전체 이탈도 이태리 엘라스틱 밴드로 다시 잡았습니다",경기 부천,경기,부천,,"경기 부천 소파 스프링 빠짐 수리 사례입니다. 내부 S자 스프링이 전체적으로 빠지면서 좌방석이 꺼지고 앉을 때 지지력이 약해진 상태였습니다. 소파 하부를 열어 이탈된 스프링을 다시 잡고, 이태리 엘라스틱 밴드로 고정해 약 2시간 동안 내부 구조를 보강했습니다.",,가죽|스프링,경기 부천 소파 스프링 빠짐 수리 사례입니다,스펀지|가죽,,,,1,0,1,/images/cases/case-081-before.jpg,,/images/cases/case-081-after.jpg,"경기 부천 소파 스프링 빠짐 수리 사례입니다. 내부 S자 스프링이 전체적으로 빠지면서 좌방석이 꺼지고 앉을 때 지지력이 약해진 상태였습니다. 소파 하부를 열어 이탈된 스프링을 다시 잡고, 이태리 엘라스틱 밴드로 고정해 약 2시간 동안 내부 구조를 보강했습니다.",부천 소파 스프링 빠짐,부천 소파 수리|부천 소파 복원|부천 소파 꺼짐|부천 S자 스프링|소파 스프링 수리|소파 스프링 빠짐|S자 스프링 수리|소파 꺼짐 복원|이태리 엘라스틱 밴드|엘라스틱 밴드|경기 부천|리스토리 스튜디오,case-081,/cases/case-081,https://www.restorystudio.co.kr/cases/case-081,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,2026-07-09,lib/case-data.tsx
case-080,소파 복원,소파 복원,소파 복원,"서울 반포 나뚜찌 소파 꺼짐 복원, 가운데 푹 꺼진 소파도 구조 보강으로 다시 사용할 수 있습니다",서울 반포,서울,반포,,서울 반포 나뚜찌 소파 꺼짐 복원 사례입니다. 내부 엘라스틱 밴드가 늘어나고 스펀지가 노후화되면서 좌방석이 심하게 꺼진 상태였습니다. 하부를 분해한 뒤 HR 25kg 고탄성 스펀지를 충진하고 이태리 엘라스틱 밴드로 구조를 보강해 약 2시간 동안 복원 작업을 진행했습니다.,,가죽,서울 반포 나뚜찌 소파 꺼짐 복원 사례입니다,스펀지|가죽,,,,1,0,1,/images/cases/case-080-before.jpg,,/images/cases/case-080-after.jpg,서울 반포 나뚜찌 소파 꺼짐 복원 사례입니다. 내부 엘라스틱 밴드가 늘어나고 스펀지가 노후화되면서 좌방석이 심하게 꺼진 상태였습니다. 하부를 분해한 뒤 HR 25kg 고탄성 스펀지를 충진하고 이태리 엘라스틱 밴드로 구조를 보강해 약 2시간 동안 복원 작업을 진행했습니다.,반포 소파 꺼짐,반포 소파 복원|반포 소파 수리|반포 나뚜찌 소파|나뚜찌 소파 수리|나뚜찌 소파 복원|소파 꺼짐 복원|엘라스틱 밴드|HR25kg 스펀지|고탄성 스펀지|소파 복원|서울 소파 수리|서울 반포|리스토리 스튜디오,case-080,/cases/case-080,https://www.restorystudio.co.kr/cases/case-080,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,2026-07-08,lib/case-data.tsx
case-079,싱크대 수리,싱크대 수리,싱크대 수리,"서울 송파구 싱크대 상부장 처짐 수리, 추락한 상부장도 재조립과 구조 복원으로 다시 사용할 수 있습니다",서울 송파구,서울,송파구,,"서울 송파구 싱크대 상부장 처짐 및 추락 수리 사례입니다. 습기로 약해진 PB 시공목이 부러지면서 상부장이 추락했고, 충격으로 측판·천판·지판이 모두 분리되었습니다. 상부장을 하나씩 다시 재조립하고 손상된 PB를 복원한 뒤 레이저 수평을 맞춰 약 3시간 동안 복원 작업을 진행했습니다.",,시공목|습기|PB|처짐|추락,서울 송파구 싱크대 상부장 처짐 및 추락 수리 사례입니다,PB|시공목,,,,1,0,1,/images/cases/case-079-before.jpg,,/images/cases/case-079-after.jpg,"서울 송파구 싱크대 상부장 처짐 및 추락 수리 사례입니다. 습기로 약해진 PB 시공목이 부러지면서 상부장이 추락했고, 충격으로 측판·천판·지판이 모두 분리되었습니다. 상부장을 하나씩 다시 재조립하고 손상된 PB를 복원한 뒤 레이저 수평을 맞춰 약 3시간 동안 복원 작업을 진행했습니다.",송파구 싱크대 상부장 처짐,송파구 상부장 추락|송파구 싱크대 수리|서울 상부장 처짐|서울 상부장 추락|싱크대 상부장 처짐|싱크대 상부장 수리|상부장 추락 수리|PB 시공목|상부장 재조립|상부장 복원|레이저 수평|싱크대 수리|서울 송파구|리스토리 스튜디오,case-079,/cases/case-079,https://www.restorystudio.co.kr/cases/case-079,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,2026-07-07,lib/case-data.tsx
case-078,가죽 리폼,특수 가죽 교체,특수 가죽 교체,"부천 한의원 추나베드 인조가죽 천갈이, 레쟈 코팅이 벗겨진 진료베드는 가죽 교체로 개선할 수 있습니다",경기 부천,경기,부천,,경기 부천 한의원 추나베드 인조가죽 천갈이 사례입니다. 오랜 사용으로 인조가죽 코팅이 벗겨지고 찢어져 가루가 떨어지던 추나베드를 새 인조가죽으로 천갈이했습니다. 베드 전체를 교체하기 전에 가죽 교체만으로 가능한지 먼저 확인하는 것이 중요합니다.,,코팅|가죽,경기 부천 한의원 추나베드 인조가죽 천갈이 사례입니다,인조가죽|가죽|스펀지,,,,1,0,1,/images/cases/case-078-before.JPG,,/images/cases/case-078-after.JPG,경기 부천 한의원 추나베드 인조가죽 천갈이 사례입니다. 오랜 사용으로 인조가죽 코팅이 벗겨지고 찢어져 가루가 떨어지던 추나베드를 새 인조가죽으로 천갈이했습니다. 베드 전체를 교체하기 전에 가죽 교체만으로 가능한지 먼저 확인하는 것이 중요합니다.,부천 한의원 추나베드,부천 추나베드 천갈이|부천 추나베드 인조가죽 교체|부천 진료베드 천갈이|부천 한의원 베드 천갈이|추나베드 천갈이|추나베드 인조가죽 교체|진료베드 천갈이|한의원 베드 가죽 교체|인조가죽 천갈이|인조가죽 교체|의료베드 천갈이|부천 인조가죽 교체|부천 가죽 천갈이|부천|한의원 베드|추나베드|진료베드|의자 천갈이|리스토리 스튜디오,case-078,/cases/case-078,https://www.restorystudio.co.kr/cases/case-078,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,2026-07-06,lib/case-data.tsx
